venue,country_code,country_name,comparison_group,paper_universe,papers_with_country,papers_missing_country,country_coverage,papers_full_count,papers_fractional_count,observed_full_share,observed_fractional_share,mar_estimated_full_count,population_share_lower_bound,population_share_upper_bound,full_rank_in_panel,fractional_rank_in_panel,rank_change_full_to_fractional
neurips,CL,Chile,latin_america,5823,5321,502,0.91379014,1,1.0,0.00018793,0.00018793,1.094343,0.00017173,0.08638159,13,13,0
neurips,CO,Colombia,latin_america,5823,5321,502,0.91379014,5,4.5,0.00093967,0.00084571,5.471716,0.00085866,0.08706852,11,9,-2
neurips,MX,Mexico,latin_america,5823,5321,502,0.91379014,0,0,0.0,0.0,0.0,0.0,0.08620986,15,15,0
neurips,IN,India,structural_peer,5823,5321,502,0.91379014,39,30.783333,0.00732945,0.00578525,42.679384,0.00669758,0.09290744,8,8,0
neurips,ID,Indonesia,structural_peer,5823,5321,502,0.91379014,0,0,0.0,0.0,0.0,0.0,0.08620986,15,15,0
neurips,ZA,South Africa,structural_peer,5823,5321,502,0.91379014,5,3.833333,0.00093967,0.00072042,5.471716,0.00085866,0.08706852,11,11,0
neurips,TR,Turkey,structural_peer,5823,5321,502,0.91379014,7,4.333333,0.00131554,0.00081438,7.660402,0.00120213,0.08741199,9,10,1
neurips,AE,United Arab Emirates,emerging_ai_investment,5823,5321,502,0.91379014,71,37.366667,0.01334336,0.00702249,77.698365,0.01219303,0.09840289,7,7,0
neurips,CA,Canada,developed_reference,5823,5321,502,0.91379014,238,155.361905,0.04472843,0.02919788,260.453674,0.0408724,0.12708226,5,5,0
neurips,GB,United Kingdom,developed_reference,5823,5321,502,0.91379014,425,296.511905,0.0798722,0.05572485,465.095847,0.07298643,0.15919629,3,3,0
neurips,FR,France,developed_reference,5823,5321,502,0.91379014,144,97.533333,0.02706258,0.01832989,157.585416,0.02472952,0.11093938,6,6,0
neurips,DE,Germany,developed_reference,5823,5321,502,0.91379014,262,182.12619,0.04923886,0.03422781,286.71791,0.04499399,0.13120385,4,4,0
