snapshot,country_code,country_name,comparison_group,systems,rmax_pflops
2026-06,BR,Brazil,focus,10,143.12
2026-06,US,United States,ai_frontier,161,7031.41
2026-06,CN,China,ai_frontier,31,2377.22
2026-06,AR,Argentina,latin_america,1,5.39
2026-06,CL,Chile,latin_america,0,0.0
2026-06,CO,Colombia,latin_america,0,0.0
2026-06,MX,Mexico,latin_america,0,0.0
2026-06,IN,India,structural_peer,7,121.24
2026-06,ID,Indonesia,structural_peer,1,3.1
2026-06,ZA,South Africa,structural_peer,1,77.79
2026-06,TR,Turkey,structural_peer,2,15.09
2026-06,AE,United Arab Emirates,emerging_ai_investment,5,141.76
2026-06,CA,Canada,developed_reference,17,153.0
2026-06,GB,United Kingdom,developed_reference,11,447.66
2026-06,FR,France,developed_reference,21,317.11
2026-06,DE,Germany,developed_reference,41,1402.73
